order_id,plant_id,supplier_id,material_id,order_date,expected_delivery_date,quantity,status,updated_at
ORD101044,SH01,SUP002,MAT0031,2024-01-26 16:57:38,2024-01-28,132,Open,2024-01-28 03:57:38
ORD101005,SH01,SUP005,MAT0004,2024-01-25 10:31:31,2024-01-30,84,Created,2024-01-27 09:31:31
ORD101721,NJ01,SUP020,MAT0040,2024-02-11 07:47:37,2024-02-19,145,Open,2024-02-12 10:47:37
ORD101510,SH01,SUP019,MAT0020,2024-02-06 07:01:27,2024-02-08,136,Created,2024-02-07 22:01:27
ORD101017,NJ01,SUP008,MAT0032,2024-01-25 11:22:26,2024-02-01,103,CREATED,2024-01-27 04:22:26
ORD100972,NJ02,SUP006,MAT0063,2024-01-24 13:07:41,2024-01-30,110,CONFIRMED,2024-01-26 06:07:41
ORD101842,NJ01,SUP020,MAT0069,2024-02-14 10:56:45,2024-02-24,129,CONFIRMED,2024-02-14 11:56:45
ORD100465,NJ01,SUP013,MAT0046,2024-01-12 18:33:15,2024-01-22,140,OPEN,2024-01-14 04:33:15
ORD101189,NJ01,SUP004,MAT0004,2024-01-30 09:10:21,2024-02-05,90,OPEN,2024-01-31 12:10:21
ORD102431,NJ02,SUP018,MAT0019,2024-02-29 07:31:40,2024-03-09,52,Confirmed,2024-02-29 20:31:40
ORD100385,SH01,SUP003,MAT0074,2024-01-10 17:13:13,2024-01-16,161,Created,2024-01-12 03:13:13
ORD100277,NJ01,SUP020,MAT0066,2024-01-08 18:30:33,2024-01-17,194,CREATED,2024-01-09 14:30:33
ORD102226,SH01,SUP002,MAT0074,2024-02-25 07:14:55,2024-02-28,59,CONFIRMED,2024-02-27 06:14:55
ORD102203,NJ01,SUP005,MAT0024,2024-02-23 13:27:24,2024-03-01,132,Created,2024-02-24 12:27:24
ORD101742,NJ02,SUP018,MAT0029,2024-02-12 13:38:10,2024-02-15,146,Open,2024-02-14 05:38:10
ORD101048,NJ02,SUP014,MAT0043,2024-01-26 07:52:49,2024-02-04,75,CONFIRMED,2024-01-27 10:52:49
ORD100586,SH01,SUP010,MAT0027,2024-01-16 10:09:53,2024-01-18,87,Confirmed,2024-01-16 12:09:53
ORD101608,SH01,SUP005,MAT0036,2024-02-09 17:36:21,2024-02-18,113,CONFIRMED,2024-02-10 12:36:21
ORD100410,NJ01,SUP006,MAT0057,2024-01-11 18:53:29,2024-01-13,192,OPEN,2024-01-11 18:53:29
ORD101910,NJ02,SUP012,MAT0040,2024-02-16 18:26:25,2024-02-19,168,Created,2024-02-17 21:26:25
ORD100606,NJ01,SUP006,MAT0033,2024-01-16 11:02:05,2024-01-19,136,created ,2024-01-16 15:02:05
ORD101496,NJ02,SUP014,MAT0046,2024-02-06 17:31:41,2024-02-15,58,Open,2024-02-08 03:31:41
