delivery_id,order_id,delivery_date,delivered_quantity,delivery_status,updated_at
DEL501282,ORD101895,2024-02-20 20:55:00,167,On Time,2024-02-24 00:07:34
DEL500937,ORD102287,2024-03-06 14:27:00,152,Delivered,2024-03-06 12:49:52
DEL501140,ORD100889,2024-01-26 19:13:00,93,DELIVERED,2024-01-27 09:11:28
DEL500913,ORD102256,2024-03-07 16:37:00,71,On Time,2024-02-29 10:29:51
DEL500559,ORD100035,2024-01-07 13:18:00,43,Delivered,2024-01-10 22:53:00
DEL501532,ORD100936,2024-02-02 07:48:00,115,Complete,2024-02-02 23:57:44
DEL500827,ORD100378,2024-01-18 09:48:00,186,Complete,2024-01-18 13:22:01
DEL501879,ORD102147,2024-02-26 14:31:00,114,DELIVERED,2024-03-02 01:21:34
DEL500912,ORD101394,2024-02-07 08:29:00,81,On Time,2024-02-13 20:48:27
DEL501334,ORD100380,2024-01-18 13:34:00,108,Complete,2024-01-16 05:30:06
DEL500550,ORD101428,2024-02-08 11:18:00,97,delivered,2024-02-06 02:46:33
DEL500471,ORD100764,2024-01-27 10:13:00,141,Delivered,2024-01-24 12:27:23
DEL500613,ORD100632,2024-01-25 10:45:00,109,Late,2024-01-21 19:16:23
DEL500598,ORD101088,2024-01-30 18:34:00,115, delivered ,2024-01-29 13:41:43
DEL500157,ORD100328,2024-01-19 11:53:00,82,delivered,2024-01-16 21:24:15
DEL500288,ORD100910,2024-01-27 10:02:00,52,Delivered,2024-01-31 11:59:37
DEL500089,ORD100036,2024-01-02 14:02:00,120,On Time,2024-01-06 05:55:25
DEL501194,ORD101811,2024-02-19 16:34:00,184,On Time,2024-02-23 15:20:23
DEL500833,ORD100408,2024-01-16 18:48:00,182,Delivered,2024-01-21 19:13:27
DEL501888,ORD101591,2024-02-14 17:53:00,146,Late,2024-02-13 18:34:57
DEL500892,ORD101977,2024-02-24 14:09:00,9,On Time,2024-02-28 05:20:55
DEL501827,ORD100929,2024-02-02 16:40:00,159,On Time,2024-01-29 20:27:47
DEL501327,ORD101961,2024-02-20 07:04:00,102,Late,2024-02-20 23:28:50
DEL500706,ORD101763,2024-02-13 08:31:00,51,Late,2024-02-21 21:39:47
