order_id,plant_id,supplier_id,material_id,order_date,expected_delivery_date,quantity,status,updated_at_order,delivery_id,delivery_date,delivered_quantity,delivery_status,updated_at_delivery,delivery_delay_days,on_time_flag,has_delivery,order_day
ORD101044,SH01,SUP002,MAT0031,2024-01-26 16:57:38,2024-01-28,132,OPEN,2024-01-28 03:57:38,DEL500001,2024-01-28 16:52:00,128.0,DELIVERED,2024-02-05 03:57:38,0.0,1,1,2024-01-26
ORD101005,SH01,SUP005,MAT0004,2024-01-25 10:31:31,2024-01-30,84,CREATED,2024-01-27 09:31:31,,,,,,,0,0,2024-01-25
ORD101721,NJ01,SUP020,MAT0040,2024-02-11 07:47:37,2024-02-19,145,OPEN,2024-02-12 10:47:37,DEL500002,2024-02-18 11:36:00,144.0,DELIVERED,2024-02-13 05:47:37,-1.0,1,1,2024-02-11
ORD101510,SH01,SUP019,MAT0020,2024-02-06 07:01:27,2024-02-08,136,CREATED,2024-02-07 22:01:27,,,,,,,0,0,2024-02-06
ORD101017,NJ01,SUP008,MAT0032,2024-01-25 11:22:26,2024-02-01,103,CREATED,2024-01-27 04:22:26,,,,,,,0,0,2024-01-25
ORD100972,NJ02,SUP006,MAT0063,2024-01-24 13:07:41,2024-01-30,110,CONFIRMED,2024-01-26 06:07:41,DEL500003,2024-01-29 19:39:00,104.0,ON_TIME,2024-02-01 13:07:41,-1.0,1,1,2024-01-24
ORD101842,NJ01,SUP020,MAT0069,2024-02-14 10:56:45,2024-02-24,129,CONFIRMED,2024-02-14 11:56:45,DEL500004,2024-02-29 19:38:00,101.0,LATE,2024-02-17 02:56:45,5.0,0,1,2024-02-14
ORD100465,NJ01,SUP013,MAT0046,2024-01-12 18:33:15,2024-01-22,140,OPEN,2024-01-14 04:33:15,DEL500005,2024-01-21 16:24:00,163.0,ON_TIME,2024-01-16 22:33:15,-1.0,1,1,2024-01-12
ORD101189,NJ01,SUP004,MAT0004,2024-01-30 09:10:21,2024-02-05,90,OPEN,2024-01-31 12:10:21,DEL500006,2024-02-05 19:32:00,80.0,DELIVERED,2024-02-10 04:10:21,0.0,1,1,2024-01-30
ORD102431,NJ02,SUP018,MAT0019,2024-02-29 07:31:40,2024-03-09,52,CONFIRMED,2024-02-29 20:31:40,DEL500007,2024-03-11 10:06:00,48.0,DELIVERED,2024-03-04 16:31:40,2.0,0,1,2024-02-29
ORD100385,SH01,SUP003,MAT0074,2024-01-10 17:13:13,2024-01-16,161,CREATED,2024-01-12 03:13:13,DEL500008,2024-01-20 13:36:00,124.0,ON_TIME,2024-01-12 06:13:13,4.0,0,1,2024-01-10
ORD100277,NJ01,SUP020,MAT0066,2024-01-08 18:30:33,2024-01-17,194,CREATED,2024-01-09 14:30:33,DEL500009,2024-01-16 09:25:00,217.0,DELIVERED,2024-01-17 18:30:33,-1.0,1,1,2024-01-08
ORD102226,SH01,SUP002,MAT0074,2024-02-25 07:14:55,2024-02-28,59,CONFIRMED,2024-02-27 06:14:55,DEL500010,2024-03-03 09:47:00,52.0,DELIVERED,2024-03-02 00:14:55,4.0,0,1,2024-02-25
ORD102203,NJ01,SUP005,MAT0024,2024-02-23 13:27:24,2024-03-01,132,CREATED,2024-02-24 12:27:24,,,,,,,0,0,2024-02-23
ORD101742,NJ02,SUP018,MAT0029,2024-02-12 13:38:10,2024-02-15,146,OPEN,2024-02-14 05:38:10,DEL500011,2024-02-15 12:42:00,147.0,ON_TIME,2024-02-19 09:38:10,0.0,1,1,2024-02-12
ORD101048,NJ02,SUP014,MAT0043,2024-01-26 07:52:49,2024-02-04,75,CONFIRMED,2024-01-27 10:52:49,DEL500012,2024-02-06 17:57:00,91.0,ON_TIME,2024-01-27 16:52:49,2.0,0,1,2024-01-26
ORD100586,SH01,SUP010,MAT0027,2024-01-16 10:09:53,2024-01-18,87,CONFIRMED,2024-01-16 12:09:53,,,,,,,0,0,2024-01-16
ORD101608,SH01,SUP005,MAT0036,2024-02-09 17:36:21,2024-02-18,113,CONFIRMED,2024-02-10 12:36:21,,,,,,,0,0,2024-02-09
ORD100410,NJ01,SUP006,MAT0057,2024-01-11 18:53:29,2024-01-13,192,OPEN,2024-01-11 18:53:29,,,,,,,0,0,2024-01-11
ORD101910,NJ02,SUP012,MAT0040,2024-02-16 18:26:25,2024-02-19,168,CREATED,2024-02-17 21:26:25,,,,,,,0,0,2024-02-16
ORD100606,NJ01,SUP006,MAT0033,2024-01-16 11:02:05,2024-01-19,136,CREATED,2024-01-16 15:02:05,DEL500013,2024-01-18 12:01:00,125.0,ON_TIME,2024-01-19 23:02:05,-1.0,1,1,2024-01-16
ORD101496,NJ02,SUP014,MAT0046,2024-02-06 17:31:41,2024-02-15,58,OPEN,2024-02-08 03:31:41,DEL500014,2024-02-15 13:42:00,72.0,DELIVERED,2024-02-09 10:31:41,0.0,1,1,2024-02-06
ORD100092,NJ01,SUP017,MAT0044,2024-01-03 11:34:27,2024-01-10,106,CREATED,2024-01-04 13:34:27,DEL500015,2024-01-09 17:04:00,75.0,DELIVERED,2024-01-05 04:34:27,-1.0,1,1,2024-01-03
ORD100115,NJ02,SUP004,MAT0070,2024-01-03 16:51:59,2024-01-08,79,CREATED,2024-01-05 09:51:59,DEL500016,2024-01-08 19:12:00,87.0,ON_TIME,2024-01-10 10:51:59,0.0,1,1,2024-01-03
ORD101509,SH01,SUP006,MAT0042,2024-02-06 15:50:25,2024-02-12,98,CREATED,2024-02-06 20:50:25,DEL500018,2024-02-11 20:32:00,89.0,DELIVERED,2024-02-07 15:50:25,-1.0,1,1,2024-02-06
ORD100828,NJ01,SUP007,MAT0044,2024-01-21 06:51:30,2024-01-31,97,OPEN,2024-01-23 04:51:30,,,,,,,0,0,2024-01-21
ORD101359,NJ01,SUP009,MAT0025,2024-02-03 17:09:34,2024-02-08,190,CONFIRMED,2024-02-04 16:09:34,DEL500019,2024-02-09 07:42:00,206.0,ON_TIME,2024-02-11 12:09:34,1.0,0,1,2024-02-03
ORD101315,SH01,SUP015,MAT0030,2024-02-02 06:51:47,2024-02-09,152,CONFIRMED,2024-02-03 13:51:47,DEL500020,2024-02-10 07:07:00,179.0,LATE,2024-02-11 12:51:47,1.0,0,1,2024-02-02
ORD101793,NJ01,SUP020,MAT0023,2024-02-13 07:22:31,2024-02-15,132,CREATED,2024-02-14 06:22:31,DEL500021,2024-02-14 20:52:00,128.0,DELIVERED,2024-02-14 09:22:31,-1.0,1,1,2024-02-13
ORD100185,NJ01,SUP006,MAT0019,2024-01-05 10:58:21,2024-01-12,66,CONFIRMED,2024-01-07 04:58:21,DEL500022,2024-01-11 08:18:00,60.0,ON_TIME,2024-01-08 09:58:21,-1.0,1,1,2024-01-05
ORD100726,NJ01,SUP012,MAT0020,2024-01-19 16:39:21,2024-01-21,138,CONFIRMED,2024-01-21 02:39:21,DEL500023,2024-01-21 20:40:00,124.0,ON_TIME,2024-01-24 10:39:21,0.0,1,1,2024-01-19
ORD102101,SH01,SUP017,MAT0037,2024-02-21 10:46:03,2024-02-26,178,CREATED,2024-02-22 10:46:03,,,,,,,0,0,2024-02-21
ORD101356,NJ01,SUP020,MAT0071,2024-02-03 08:19:54,2024-02-08,93,CREATED,2024-02-04 21:19:54,DEL500024,2024-02-08 18:23:00,85.0,DELIVERED,2024-02-08 16:19:54,0.0,1,1,2024-02-03
ORD100288,NJ02,SUP012,MAT0072,2024-01-08 17:45:31,2024-01-15,95,CONFIRMED,2024-01-09 10:45:31,DEL500025,2024-01-14 16:18:00,82.0,LATE,2024-01-11 18:45:31,-1.0,1,1,2024-01-08
ORD101648,NJ01,SUP018,MAT0045,2024-02-10 12:34:03,2024-02-16,127,CREATED,2024-02-12 02:34:03,DEL500026,2024-02-16 18:25:00,113.0,LATE,2024-02-14 07:34:03,0.0,1,1,2024-02-10
ORD101261,SH01,SUP018,MAT0028,2024-01-31 11:11:13,2024-02-02,207,OPEN,2024-02-02 07:11:13,DEL500027,2024-02-02 18:55:00,224.0,LATE,2024-02-08 23:11:13,0.0,1,1,2024-01-31
ORD101081,NJ01,SUP003,MAT0071,2024-01-27 18:41:18,2024-02-03,83,CONFIRMED,2024-01-28 18:41:18,,,,,,,0,0,2024-01-27
ORD100014,NJ01,SUP016,MAT0051,2024-01-01 09:58:36,2024-01-08,59,CONFIRMED,2024-01-02 14:58:36,,,,,,,0,0,2024-01-01
ORD100395,NJ01,SUP009,MAT0029,2024-01-11 18:48:14,2024-01-17,141,CONFIRMED,2024-01-12 12:48:14,DEL500028,2024-01-18 19:49:00,129.0,DELIVERED,2024-01-13 06:48:14,1.0,0,1,2024-01-11
ORD100263,NJ02,SUP010,MAT0062,2024-01-07 16:01:31,2024-01-17,124,CREATED,2024-01-09 11:01:31,,,,,,,0,0,2024-01-07
ORD100215,NJ01,SUP005,MAT0010,2024-01-06 18:31:12,2024-01-11,201,OPEN,2024-01-07 00:31:12,DEL500029,2024-01-11 10:12:00,204.0,LATE,2024-01-10 20:31:12,0.0,1,1,2024-01-06
ORD100123,NJ02,SUP014,MAT0064,2024-01-03 11:42:06,2024-01-07,196,OPEN,2024-01-05 05:42:06,,,,,,,0,0,2024-01-03
ORD101130,SH01,SUP013,MAT0026,2024-01-28 16:28:44,2024-02-04,198,OPEN,2024-01-28 21:28:44,DEL500030,2024-02-04 10:22:00,198.0,LATE,2024-01-31 06:28:44,0.0,1,1,2024-01-28
ORD100040,NJ02,SUP004,MAT0073,2024-01-01 07:38:04,2024-01-06,145,CREATED,2024-01-02 20:38:04,DEL500031,2024-01-06 10:54:00,167.0,DELIVERED,2024-01-03 09:38:04,0.0,1,1,2024-01-01
ORD102206,NJ02,SUP020,MAT0036,2024-02-24 15:03:00,2024-02-27,126,OPEN,2024-02-25 18:03:00,DEL500032,2024-02-27 10:48:00,118.0,LATE,2024-02-29 07:03:00,0.0,1,1,2024-02-24
